src_ip,dst_ip,Source Port,Destination Port,Protocol,Flow Duration,Total Packets,Total Length of Packets,Packet Length Max,Packet Length Min,Packet Length Mean,Packet Length Std,Label
10.0.0.4,172.16.0.1,47234,6001,6,0.063,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.5,172.16.0.1,45991,6001,6,0.01,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.14,172.16.0.1,48250,6001,6,0.005,3,162,54,54,54,0,RST-ACK Flood
10.0.0.16,172.16.0.1,36956,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.13,172.16.0.1,45075,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.1,172.16.0.1,53326,6001,6,0.045,5,294,66,54,58.8,6.57267069,RST-ACK Flood
10.0.0.2,172.16.0.1,48772,6001,6,0.002,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.14,172.16.0.1,48252,6001,6,0.027,3,162,54,54,54,0,RST-ACK Flood
10.0.0.21,172.16.0.1,60807,6001,6,0.002,3,162,54,54,54,0,RST-ACK Flood
10.0.0.12,172.16.0.1,26129,6001,6,0.013,3,162,54,54,54,0,RST-ACK Flood
10.0.0.4,172.16.0.1,47236,6001,6,0.085,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.19,172.16.0.1,39998,6001,6,0.067,3,162,54,54,54,0,RST-ACK Flood
10.0.0.1,172.16.0.1,53327,6001,6,0.002,5,294,66,54,58.8,6.57267069,RST-ACK Flood
10.0.0.2,172.16.0.1,48774,6001,6,0.002,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.4,172.16.0.1,47238,6001,6,0.024,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.13,172.16.0.1,45077,6001,6,0.017,3,162,54,54,54,0,RST-ACK Flood
10.0.0.14,172.16.0.1,48254,6001,6,0.002,3,162,54,54,54,0,RST-ACK Flood
10.0.0.1,172.16.0.1,53328,6001,6,0.054,5,294,66,54,58.8,6.57267069,RST-ACK Flood
10.0.0.16,172.16.0.1,36958,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.17,172.16.0.1,52784,6001,6,0.058,3,162,54,54,54,0,RST-ACK Flood
10.0.0.14,172.16.0.1,48256,6001,6,0.033,3,162,54,54,54,0,RST-ACK Flood
10.0.0.22,172.16.0.1,52312,6001,6,0.064,3,162,54,54,54,0,RST-ACK Flood
10.0.0.2,172.16.0.1,48776,6001,6,0.01,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.14,172.16.0.1,48258,6001,6,0.02,3,162,54,54,54,0,RST-ACK Flood
